GalaxyID_test,Mass_Host,GroupID_test,GalaxyID_V1,GalaxyID_V2,R_1,R_2,r_sep_1,r_sep_2,mu_1,mu_2,N_1,N_2,N_3
11004848,14960425984.0,28000000002764,9739791,8237249,812.5255680649869,1411.964254130524,86.435004570006,109.61218816279181,2.556380169983267,2.6930060806482445,1,6,19
11106874,14030830592.0,28000000002908,15227040,9389473,2114.2113140620177,2990.5880565795533,192.838259011713,232.75946403652188,8.835042927728052,2.036178996864906,0,0,2
11227562,10394243072.0,28000000003098,9155183,16981991,6104.068739673184,7683.307091591502,534.563228152923,530.1817557099708,2.701290599951057,5.555444254286533,0,0,0
11009044,15620489216.0,28000000002770,18312497,10842572,802.5072147757353,1882.7968306372932,51.230858679816926,145.71858486173477,2.8649484633401125,0.9232624536002241,1,2,2
11072599,14722700288.0,28000000002859,12728080,12720100,2227.804521863651,2443.048852631446,273.62284652976405,275.19873700996624,1.5418681108724612,5.074561835161091,0,0,5
11276282,16692315136.0,28000000003174,9925265,11361113,1080.096300594011,1256.8191028959166,138.08452899495276,144.34821261704917,2.4882833288009163,0.6655262111629474,0,3,13
18065713,45099597824.0,28000000000869,9356871,8497740,3547.4407222132304,6573.369799194741,323.7583095889929,488.96222833620146,0.6031157668888396,0.3295927558823989,0,0,0
18138347,38912929792.0,28000000000900,8617679,17410989,1709.3159538067712,1858.5484233883149,207.16544581763173,180.57675203776577,0.402427778830969,1.6400087071603657,0,2,2
18301924,35192586240.0,28000000000950,10372951,9329031,1469.6607445552834,2305.029574480348,118.51974162342148,136.86338128444658,0.3386458122379812,0.436336525860283,0,1,3
18359998,31385827328.0,28000000000984,17686441,9897265,3007.0926933028095,8118.310952588693,287.904514935548,757.7436800889177,1.4553578111114498,0.6708596759919063,0,0,0
8760225,37356515328.0,28000000001025,14715401,13873824,921.1158747622945,1179.475950230295,79.12479871307289,93.54610649103569,2.0278983794620387,0.7546892665030964,1,5,5
8813148,35590791168.0,28000000001075,13871597,14706695,4345.811074515409,4493.506206187851,299.18384959918444,220.70648083777672,0.3994275394693019,2.9160270765015435,0,0,0
14101953,28339537920.0,28000000001143,9847064,18146763,5922.502603597782,8482.239232823986,733.2451880600181,549.2830396640202,0.5635210131189041,1.4179490542660196,0,0,0
8902165,11350745088.0,28000000001148,9414770,9978451,1553.951141057642,6790.557397729374,146.9344042535246,614.0371139526425,1.4955690323754014,1.2850151632266134,0,1,1
8918813,12155841536.0,28000000001161,8919858,9610280,260.37122597588746,7227.096907728573,19.41183387023049,448.238819944206,0.9890350712778492,1.423619984905996,1,1,1
8919858,12022553600.0,28000000001161,8918813,9014148,260.37122597588746,7112.927228182221,19.41183387023049,667.8874225679743,1.0110864913091342,1.8403510841490447,1,1,1
9002083,25036171264.0,28000000001211,10610437,11758243,788.9757767031739,1298.0616441805419,65.73195966974896,123.99138407365679,1.1188683429514343,0.4066938940716139,1,3,12
9031123,38428696576.0,28000000001229,9812401,8714156,4059.6762837447045,7894.17345941206,349.24974961551385,741.9652772321629,0.45480497454382357,0.2760481340557659,0,0,0
