GalaxyID,SnapNum,Redshift,SubGroupNumber,CentreOfPotential_x,CentreOfPotential_y,CentreOfPotential_z,Stars_Mass,SF_Mass,NSF_Mass,MassType_DM,MassType_BH,HalfMassRad_Star,HalfMassRad_Gas,HalfMassRad_DM,Stars_Hydrogen,Stars_Oxygen,Stars_Metallicity,SF_Hydrogen,SF_Oxygen,SF_Metallicity,NSF_Hydrogen,NSF_Oxygen,NSF_Metallicity,StarFormationRate,InitialMassWeightedStellarAge,ap_GalaxyID,ApertureSize
2045966,28,2.220446049250313e-16,3,1.8877079486846924,78.41744995117188,43.648006439208984,11209172992.0,236902928.0,0.0,66808565760.0,7231819.5,3.224954128265381,0.9919815063476562,13.152215003967285,0.7032180428504944,0.009815113618969917,0.02239973470568657,0.55621337890625,0.03252578526735306,0.08646533638238907,0.0,0.0,0.0,0.10796032845973969,7.22976016998291,2045966,10
2045966,28,2.220446049250313e-16,3,1.8877079486846924,78.41744995117188,43.648006439208984,11209172992.0,236902928.0,0.0,66808565760.0,7231819.5,3.224954128265381,0.9919815063476562,13.152215003967285,0.7032180428504944,0.009815113618969917,0.02239973470568657,0.55621337890625,0.03252578526735306,0.08646533638238907,0.0,0.0,0.0,0.10796032845973969,7.22976016998291,2045966,20
2045966,28,2.220446049250313e-16,3,1.8877079486846924,78.41744995117188,43.648006439208984,11209172992.0,236902928.0,0.0,66808565760.0,7231819.5,3.224954128265381,0.9919815063476562,13.152215003967285,0.7032180428504944,0.009815113618969917,0.02239973470568657,0.55621337890625,0.03252578526735306,0.08646533638238907,0.0,0.0,0.0,0.10796032845973969,7.22976016998291,2045966,30
2045966,28,2.220446049250313e-16,3,1.8877079486846924,78.41744995117188,43.648006439208984,11209172992.0,236902928.0,0.0,66808565760.0,7231819.5,3.224954128265381,0.9919815063476562,13.152215003967285,0.7032180428504944,0.009815113618969917,0.02239973470568657,0.55621337890625,0.03252578526735306,0.08646533638238907,0.0,0.0,0.0,0.10796032845973969,7.22976016998291,2045966,40
2045966,28,2.220446049250313e-16,3,1.8877079486846924,78.41744995117188,43.648006439208984,11209172992.0,236902928.0,0.0,66808565760.0,7231819.5,3.224954128265381,0.9919815063476562,13.152215003967285,0.7032180428504944,0.009815113618969917,0.02239973470568657,0.55621337890625,0.03252578526735306,0.08646533638238907,0.0,0.0,0.0,0.10796032845973969,7.22976016998291,2045966,50
2045966,28,2.220446049250313e-16,3,1.8877079486846924,78.41744995117188,43.648006439208984,11209172992.0,236902928.0,0.0,66808565760.0,7231819.5,3.224954128265381,0.9919815063476562,13.152215003967285,0.7032180428504944,0.009815113618969917,0.02239973470568657,0.55621337890625,0.03252578526735306,0.08646533638238907,0.0,0.0,0.0,0.10796032845973969,7.22976016998291,2045966,70
2045966,28,2.220446049250313e-16,3,1.8877079486846924,78.41744995117188,43.648006439208984,11209172992.0,236902928.0,0.0,66808565760.0,7231819.5,3.224954128265381,0.9919815063476562,13.152215003967285,0.7032180428504944,0.009815113618969917,0.02239973470568657,0.55621337890625,0.03252578526735306,0.08646533638238907,0.0,0.0,0.0,0.10796032845973969,7.22976016998291,2045966,100
2047698,28,2.220446049250313e-16,2,72.92188262939453,74.32514953613281,77.82816314697266,35599282176.0,24231220.0,0.0,40079323136.0,55350196.0,1.9862381219863892,0.49708154797554016,4.874070644378662,0.6886343359947205,0.012731949798762798,0.028706427663564682,0.7041885852813721,0.008346229791641235,0.020536459982395172,0.0,0.0,0.0,0.022039011120796204,9.520235061645508,2047698,1
2047698,28,2.220446049250313e-16,2,72.92188262939453,74.32514953613281,77.82816314697266,35599282176.0,24231220.0,0.0,40079323136.0,55350196.0,1.9862381219863892,0.49708154797554016,4.874070644378662,0.6886343359947205,0.012731949798762798,0.028706427663564682,0.7041885852813721,0.008346229791641235,0.020536459982395172,0.0,0.0,0.0,0.022039011120796204,9.520235061645508,2047698,3
2047698,28,2.220446049250313e-16,2,72.92188262939453,74.32514953613281,77.82816314697266,35599282176.0,24231220.0,0.0,40079323136.0,55350196.0,1.9862381219863892,0.49708154797554016,4.874070644378662,0.6886343359947205,0.012731949798762798,0.028706427663564682,0.7041885852813721,0.008346229791641235,0.020536459982395172,0.0,0.0,0.0,0.022039011120796204,9.520235061645508,2047698,5
2047698,28,2.220446049250313e-16,2,72.92188262939453,74.32514953613281,77.82816314697266,35599282176.0,24231220.0,0.0,40079323136.0,55350196.0,1.9862381219863892,0.49708154797554016,4.874070644378662,0.6886343359947205,0.012731949798762798,0.028706427663564682,0.7041885852813721,0.008346229791641235,0.020536459982395172,0.0,0.0,0.0,0.022039011120796204,9.520235061645508,2047698,10
