GalaxyID,SnapNum,Redshift,SubGroupNumber,CentreOfPotential_x,CentreOfPotential_y,CentreOfPotential_z,Stars_Mass,SF_Mass,NSF_Mass,MassType_DM,MassType_BH,HalfMassRad_Star,HalfMassRad_Gas,HalfMassRad_DM,Stars_Hydrogen,Stars_Oxygen,Stars_Metallicity,SF_Hydrogen,SF_Oxygen,SF_Metallicity,NSF_Hydrogen,NSF_Oxygen,NSF_Metallicity,StarFormationRate,InitialMassWeightedStellarAge,ap_GalaxyID,ApertureSize,Mass_Star,SFR
18022138,28,2.220446049250313e-16,0,34.62668991088867,34.41950607299805,58.3026237487793,23769018368.0,185260544.0,78141186048.0,1772041142272.0,40594048.0,8.185799598693848,219.99612426757812,145.71128845214844,0.7157696485519409,0.007679062429815531,0.01687111146748066,0.704046368598938,0.009273986332118511,0.022434599697589874,0.7451199889183044,0.0014017099747434258,0.0031784402672201395,0.0652061402797699,7.372399806976318,18022138,10,13414447104.0,0.03884897753596306
18024023,28,2.220446049250313e-16,0,53.05084228515625,58.43750762939453,54.027042388916016,39918116864.0,3621700608.0,89487663104.0,1829484232704.0,54052108.0,4.9473419189453125,194.03805541992188,111.72188568115234,0.7026646137237549,0.009864207357168198,0.02247631549835205,0.6696078181266785,0.014773895964026451,0.03659900650382042,0.746422529220581,0.0011474333005025983,0.0025501588825136423,1.37016761302948,8.804258346557617,18024023,10,32067862528.0,0.7265074849128723
18026172,28,2.220446049250313e-16,0,33.26084899902344,78.49893951416016,59.007022857666016,37921062912.0,980510336.0,22422251520.0,2277046484992.0,202012208.0,5.713873863220215,221.45062255859375,108.53941345214844,0.7187718749046326,0.007444895338267088,0.015636330470442772,0.6672666072845459,0.01622438058257103,0.03812791034579277,0.7431117296218872,0.0017754528671503067,0.004026573151350021,0.33529654145240784,10.094491958618164,18026172,10,24954918912.0,0.12648259103298187
11469325,28,2.220446049250313e-16,2,87.54182434082031,51.501731872558594,4.988714218139648,78160994304.0,1930300160.0,442549952.0,675308437504.0,37502572.0,7.4948225021362305,3.9456818103790283,38.972042083740234,0.6950380206108093,0.011467556469142437,0.02590932324528694,0.5717239379882812,0.030248209834098816,0.07956048101186752,0.5959976315498352,0.026132306084036827,0.07016099989414215,1.029280662536621,7.087673187255859,11469325,10,47310118912.0,1.029280662536621
11472443,28,2.220446049250313e-16,3,87.08161926269531,50.93281173706055,5.18029260635376,24676440064.0,143624512.0,4089964288.0,985423937536.0,83814712.0,2.80586838722229,101.61406707763672,62.66431427001953,0.7090073823928833,0.008997485041618347,0.019758304581046104,0.7225952744483948,0.006771881598979235,0.014076009392738342,0.7454637289047241,0.001340962597168982,0.00300263287499547,0.05910787358880043,10.351509094238281,11472443,10,21386870784.0,0.0
11474474,28,2.220446049250313e-16,4,88.73787689208984,50.87206268310547,3.3129022121429443,16653471744.0,807513920.0,228059632.0,430198292480.0,14648859.0,4.1550211906433105,2.8582923412323,48.15664291381836,0.7011114358901978,0.010124697349965572,0.023178705945611,0.5931784510612488,0.027161680161952972,0.06990861892700195,0.6229798793792725,0.021756229922175407,0.05743858218193054,0.374067485332489,7.618980407714844,11474474,10,14248187904.0,0.374067485332489
11475305,28,2.220446049250313e-16,5,87.73953247070312,49.69892501831055,5.3173322677612305,31355707392.0,0.0,0.0,238808383488.0,98941560.0,2.4102330207824707,0.0,22.012006759643555,0.7018725872039795,0.010790109634399414,0.023029590025544167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.081080436706543,11475305,10,27008264192.0,0.0
11476543,28,2.220446049250313e-16,6,87.55327606201172,50.56496810913086,4.860647201538086,31808106496.0,0.0,0.0,181694873600.0,27159874.0,6.441705226898193,0.0,15.38446044921875,0.7046874165534973,0.009747754782438278,0.021777484565973282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.791091442108154,11476543,10,21243529216.0,0.0
11478405,28,2.220446049250313e-16,7,88.1197738647461,50.54890441894531,4.644553184509277,13295023104.0,2132775680.0,145236976.0,302689026048.0,16797850.0,5.60493278503418,4.741062641143799,32.1830940246582,0.7100704312324524,0.008657446131110191,0.019364112988114357,0.6628001928329468,0.01645418256521225,0.039617713540792465,0.6881920099258423,0.011801405809819698,0.028498759493231773,1.1030062437057495,5.855269432067871,11478405,10,9648691200.0,1.0825234651565552
11479567,28,2.220446049250313e-16,8,87.749267578125,50.96136474609375,4.465112209320068,35029868544.0,0.0,0.0,152735760384.0,0.0,6.849419593811035,0.0,14.624372482299805,0.6978474855422974,0.010897456668317318,0.02471228316426277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.837199211120605,11479567,10,23086442496.0,0.0
11481250,28,2.220446049250313e-16,9,86.55438995361328,52.02789306640625,5.533989429473877,18470305792.0,0.0,0.0,252895281152.0,20618636.0,2.7808799743652344,0.0,31.51984977722168,0.7008253335952759,0.010206853970885277,0.023172665387392044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.226663589477539,11481250,10,16692728832.0,0.0
