GalaxyID_test,GroupID_test,snap_lm,z_lm,L_lm,snap_lmm,z_lmm,L_lmm
12116601,28000000000020,23.0,0.5031073093414307,1.0149223804473877,6.0,5.97116231918335,1.5346733331680298
12118035,28000000000020,22.0,0.615189790725708,1.0086452960968018,10.0,3.983663558959961,2.641840696334839
12118867,28000000000020,18.0,1.259331464767456,1.0183762311935425,,,
6599297,28000000000020,23.0,0.5031073093414307,1.0249137878417969,10.0,3.983663558959961,1.3674893379211426
6600555,28000000000020,23.0,0.5031073093414307,1.0249137878417969,,,
6602358,28000000000020,23.0,0.5031073093414307,1.0249137878417969,6.0,5.97116231918335,2.0140974521636963
21059562,28000000000020,23.0,0.5031073093414307,1.0249137878417969,14.0,2.237036943435669,1.3774683475494385
11450389,28000000000008,22.0,0.615189790725708,1.026288628578186,,,
11452246,28000000000008,22.0,0.615189790725708,1.0041152238845825,5.0,7.049566268920898,1.47051203250885
11453997,28000000000008,26.0,0.18270987272262573,1.005000352859497,22.0,0.615189790725708,1.596200704574585
11455095,28000000000008,25.0,0.270901083946228,1.1825519800186157,,,
13245189,28000000000075,18.0,1.259331464767456,1.0078067779541016,16.0,1.7369657754898071,1.3220140933990479
13246029,28000000000075,,,,,,
13246180,28000000000075,,,,5.0,7.049566268920898,3.791856527328491
17911420,28000000000075,,,,20.0,0.8650505542755127,1.3929798603057861
19975481,28000000000075,,,,17.0,1.486707329750061,1.3363479375839233
575027,28000000000075,,,,,,
13727899,28000000000126,,,,18.0,1.259331464767456,1.625731110572815
13729748,28000000000126,17.0,1.486707329750061,1.0190932750701904,6.0,5.97116231918335,15.321531295776367
14007135,28000000000126,17.0,1.486707329750061,1.0190932750701904,13.0,2.4784133434295654,1.405806303024292
14018345,28000000000126,17.0,1.486707329750061,1.0190932750701904,27.0,0.10063853859901428,1.3992087841033936
13731701,28000000000129,26.0,0.18270987272262573,1.0034152269363403,,,
14032064,28000000000129,23.0,0.5031073093414307,1.003023624420166,22.0,0.615189790725708,1.3828054666519165
6630025,28000000000023,23.0,0.5031073093414307,1.010014533996582,,,
6631026,28000000000023,24.0,0.36566856503486633,1.0077155828475952,11.0,3.5279765129089355,1.4297857284545898
12149158,28000000000023,18.0,1.259331464767456,1.0207221508026123,,,
17246197,28000000000044,26.0,0.18270987272262573,1.3793669939041138,26.0,0.18270987272262573,1.3793669939041138
19299050,28000000000044,26.0,0.18270987272262573,1.3793669939041138,19.0,1.0041216611862183,3.0702624320983887
7624199,28000000000044,20.0,0.8650505542755127,1.0202683210372925,7.0,5.487415313720703,1.50167977809906
12683165,28000000000044,27.0,0.10063853859901428,1.003326654434204,3.0,8.987874984741211,1.8377848863601685
12687611,28000000000044,12.0,3.0165045261383057,1.0293965339660645,9.0,4.485213756561279,18.266496658325195
5994741,28000000000013,24.0,0.36566856503486633,1.006487488746643,,,
5988781,28000000000013,25.0,0.270901083946228,1.013746738433838,,,
5990640,28000000000013,25.0,0.270901083946228,1.006149172782898,7.0,5.487415313720703,1.4496349096298218
11539241,28000000000013,27.0,0.10063853859901428,1.004174828529358,17.0,1.486707329750061,1.4183963537216187
20823324,28000000000013,27.0,0.10063853859901428,1.004174828529358,7.0,5.487415313720703,1.3820301294326782
11530330,28000000000013,27.0,0.10063853859901428,1.0014575719833374,7.0,5.487415313720703,1.4269683361053467
13914718,28000000000000,27.0,0.10063853859901428,1.0014575719833374,7.0,5.487415313720703,1.4269683361053467
13921560,28000000000000,24.0,0.36566856503486633,1.096869707107544,3.0,8.987874984741211,2.3670575618743896
8147615,28000000000000,20.0,0.8650505542755127,1.0276843309402466,13.0,2.4784133434295654,1.5158171653747559
8148721,28000000000000,20.0,0.8650505542755127,1.0276843309402466,9.0,4.485213756561279,1.6893434524536133
8150446,28000000000000,21.0,0.7356296181678772,1.0112687349319458,,,
8143478,28000000000000,23.0,0.5031073093414307,1.003468632698059,13.0,2.4784133434295654,4.091000556945801
8145429,28000000000000,23.0,0.5031073093414307,1.0073322057724,11.0,3.5279765129089355,1.3821444511413574
8146110,28000000000000,24.0,0.36566856503486633,1.009968876838684,6.0,5.97116231918335,2.771087408065796
8132670,28000000000000,26.0,0.18270987272262573,1.006700873374939,11.0,3.5279765129089355,3.415205240249634
