GalaxyID_test,Snap_Last_Minor_Merger,L_Last_Minor_Merger,Redshift_Minor
8088440,18,1.4578839540481567,1.26
9609022,18,1.5133061408996582,1.26
8097696,18,1.174833059310913,1.26
9224715,18,1.3091316223144531,1.26
136321,17,1.7990279197692869,1.49
15298813,17,65.71624755859375,1.49
8361307,17,1.518332839012146,1.49
9410624,17,1.1990164518356323,1.49
9981020,17,1.1289730072021484,1.49
18403595,17,1.426506519317627,1.49
9131264,17,1.1240297555923462,1.49
8855096,17,1.291751265525818,1.49
17104296,17,1.1677558422088623,1.49
8950686,17,1.3702232837677002,1.49
13207799,17,1.156802773475647,1.49
7144267,17,1.3081355094909668,1.49
18153797,17,1.341023087501526,1.49
15988447,17,1.4175028800964355,1.49
8803865,17,1.2322766780853271,1.49
16865319,17,1.4834736585617063,1.49
18369501,17,1.1114436388015747,1.49
9402697,17,1.141580581665039,1.49
18320343,17,1.4865769147872925,1.49
17788553,17,1.1366217136383057,1.49
16561330,17,1.6880840063095093,1.49
9787366,17,1.180086970329285,1.49
15289520,17,1.1618324518203735,1.49
8373455,17,1.8053849935531616,1.49
13793733,17,1.6482579708099363,1.49
9176117,17,1.420696496963501,1.49
15651342,17,1.122981309890747,1.49
9798319,17,1.3915951251983645,1.49
2363903,17,1.2628915309906006,1.49
14974619,17,1.6920500993728638,1.49
8799477,17,1.255273699760437,1.49
8967473,17,1.1672781705856323,1.49
2885113,17,2.1032986640930176,1.49
9152137,17,1.1370725631713867,1.49
17331331,17,1.5433801412582395,1.49
9306538,17,1.388634443283081,1.49
18397263,17,1.5356143712997437,1.49
9825273,17,1.217188596725464,1.49
10953354,17,1.2719115018844604,1.49
17514526,17,1.3021008968353271,1.49
9662331,17,1.5780322551727295,1.49
8649268,17,1.2588748931884766,1.49
10297940,17,1.108076095581055,1.49
14349777,17,1.1444377899169922,1.49
8606402,17,1.399612307548523,1.49
12204541,17,1.239830493927002,1.49
9672291,17,1.128286361694336,1.49
17464777,17,1.3305562734603882,1.49
9048284,17,1.1001088619232178,1.49
17640299,17,1.4583972692489624,1.49
10150866,17,1.135922074317932,1.49
8667711,17,1.1091853380203247,1.49
20487146,17,44.39221572875977,1.49
10806033,17,1.3944566249847412,1.49
10326234,17,1.5529577732086182,1.49
13935854,17,1.1418619155883791,1.49
19250447,17,1.4720110893249512,1.49
9334219,17,1.6804940700531006,1.49
10183374,17,1.2001025676727295,1.49
17339024,17,1.2045952081680298,1.49
13741790,17,1.2028095722198486,1.49
17273915,17,1.5775598287582395,1.49
8817545,17,1.119750738143921,1.49
15141076,17,1.101953625679016,1.49
14105653,17,1.1314501762390137,1.49
16331601,17,1.6486783027648926,1.49
11539241,17,1.4190973043441772,1.49
